1022 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
506522    506667    3               3                72.9       3
506668    507600    4               3                193.3      3
536818    536902    3               3                108.0      3
623309    623683    2               3                14.3       3
663867    666206    4               3                36.8       3
676341    676865    3               3                73.9       3
678698    679115    4               3                52.3       3
727345    727744    4               3                53.4       3
750350    751895    3               3                59.4       3
779347    779505    2               3                50.6       3
779506    779648    3               3                30.0       3
801250    801818    3               3                5.5        3
801819    802862    4               3                4.3        3
802863    803208    3               3                12.8       3
845574    846072    3               3                66.0       3
856725    857011    3               3                17.6       3
857012    858452    4               3                15.8       3
873271    873866    3               3                57.3       3
901954    902703    3               3                18.2       3
902704    902926    4               3                0.2        3
902927    904941    3               3                77.1       3
920749    923089    3               3                16.4       3
923090    924026    4               3                5.5        3
924027    925026    2               3                25.5       3
925027    931450    4               3                2.6        3
933304    933486    4               3                40.4       3
962936    964456    4               3                31.5       3
964457    966070    3               3                33.8       3
966071    966211    2               3                45.2       3
994383    995036    2               3                30.2       3
995037    999931    3               3                3134.7     3
999932    1002046   2               3                734.4      3
1002047   1002348   4               3                19.7       3
1002349   1002830   3               3                28.6       3
1002831   1003323   4               3                44.9       3
1003324   1005304   2               3                207.0      3
1054722   1055456   3               3                88.9       3
1072466   1073409   3               3                26.8       3
1073461   1073567   4               3                3.6        3
1076851   1077639   3               3                4.1        3
1077640   1080726   4               3                58.6       3
1098735   1099671   3               3                12.6       3
1101448   1102031   4               3                20.1       3
1102032   1102198   3               3                18.0       3
1179810   1180214   4               3                40.7       3
1180215   1180583   2               3                52.3       3
1180584   1180985   4               3                13.5       3
1183154   1183277   4               3                95.4       3
1257689   1257815   3               3                28.1       3
1344528   1344598   3               3                108.9      3
1387716   1389344   3               3                48.2       3
1396535   1396658   3               3                68.5       3
1407248   1407422   4               3                20.6       3
1407423   1407728   2               3                25.2       3
1407729   1407769   3               3                16.1       3
1418644   1419580   4               3                56.3       3
1419581   1420204   2               3                16.8       3
1425228   1425763   3               3                19.1       3
1447626   1448024   3               3                44.1       3
1504025   1504231   3               3                7.5        3
1504232   1504399   4               3                14.9       3
1504400   1505370   3               3                30.7       3
1514893   1516515   4               3                16.8       3
1538115   1541800   3               3                170.3      3
1703878   1704797   4               3                124.4      3
1756859   1757625   4               3                49.5       3
1757626   1758043   2               3                37.1       3
1774143   1774215   3               3                67.4       3
1813937   1814837   2               3                17.1       3
1845772   1847042   4               3                52.9       3
1847043   1847206   3               3                49.9       3
1847207   1848062   4               3                97.2       3
1865028   1865401   3               3                9.6        3
1865402   1866650   4               3                1.1        3
1866651   1868518   3               3                43.1       3
1875876   1876199   3               3                80.3       3
1876200   1876947   4               3                34.6       3
1876948   1877145   2               3                49.7       3
1916417   1918572   4               3                260.7      3
1918573   1918788   2               3                15.3       3
2142080   2142417   3               3                101.1      3
2142418   2143099   4               3                29.3       3
2191561   2192033   2               3                123.2      3
2240700   2240831   2               3                17.2       3
2240832   2241806   4               3                37.5       3
2283263   2283600   2               3                32.4       3
2283601   2285845   4               3                113.9      3
2419807   2420827   3               3                97.3       3
2467949   2468010   2               3                42.3       3
2521227   2521606   3               3                39.1       3
2544426   2546664   3               3                121.6      3
2592655   2592906   3               3                51.5       3
2612108   2614641   4               3                22.1       3
2614642   2615782   2               3                14.9       3
2632024   2632460   4               3                48.0       3
2632461   2632978   3               3                55.5       3
2638509   2639047   4               3                48.5       3
2639048   2639306   3               3                21.8       3
2642658   2645888   4               3                94.7       3
2699925   2701473   4               3                81.3       3
2782882   2783201   4               3                27.4       3
2783202   2784848   3               3                54.5       3
2842331   2842807   2               3                275.6      3
2844406   2845774   3               3                36.7       3
2857839   2858421   4               3                49.2       3
2869707   2870358   4               3                43.3       3
2879440   2880175   4               3                127.6      3
2900725   2901612   3               3                30.5       3
3015370   3015746   4               3                104.1      3
3042453   3043106   4               3                63.1       3
3073698   3075338   4               3                78.3       3
3140338   3140548   2               3                44.8       3
3321076   3321744   4               3                59.5       3
3321745   3322559   2               3                58.5       3
3335937   3336926   4               3                95.9       3
3357647   3358245   3               3                34.7       3
3388751   3389070   3               3                56.0       3
3397665   3398525   3               3                340.1      3
3406078   3407701   3               3                33.6       3
3425052   3425240   3               3                39.8       3
3454314   3454972   3               3                78.0       3
3671626   3672082   3               3                38.0       3
196519    197572    2               4                56.7       4
994858    997389    2               4                3.9        4
2348190   2353409   2               4                131.0      4
2353410   2353583   4               4                1.3        4
2353584   2358722   2               4                182.6      4
2376460   2386971   2               4                204.0      4
9656      11078     4               5                19.9       5
11079     11448     2               5                10.0       5
36444     36751     4               5                34.6       5
36752     36848     2               5                6.5        5
43533     45536     4               5                64.6       5
45537     45971     2               5                11.3       5
45972     46307     4               5                26.4       5
54421     54470     4               5                2.0        5
54471     54855     2               5                21.4       5
54856     55410     1               5                50.8       5
55411     56291     4               5                18.4       5
56292     56914     2               5                10.4       5
70120     71183     1               5                1379.2     5
72522     72615     2               5                18.1       5
72678     72855     4               5                13.0       5
72856     72926     2               5                29.3       5
109533    109979    2               5                45.3       5
110401    110751    2               5                115.3      5
110752    110909    1               5                212.8      5
110910    111417    2               5                509.6      5
111418    111473    1               5                74.4       5
118559    118567    2               5                2.0        5
118568    118928    1               5                7.5        5
118929    119329    2               5                30.4       5
127189    127334    4               5                108.4      5
127335    127653    2               5                41.2       5
156831    158081    2               5                68.2       5
158082    161487    4               5                180.5      5
197972    198593    2               5                35.4       5
233728    234691    4               5                37.9       5
234692    235178    2               5                3.0        5
235179    236777    4               5                138.6      5
236778    237029    2               5                16.6       5
263938    264054    1               5                28.3       5
264055    265587    4               5                147.9      5
275531    276717    1               5                16.2       5
276960    277956    2               5                12.0       5
277957    278124    1               5                24.3       5
279757    280108    4               5                10.5       5
280109    280620    2               5                0.7        5
280621    281195    4               5                33.8       5
284674    285387    2               5                54.4       5
285388    285787    4               5                9.4        5
285788    286467    2               5                19.5       5
303337    303545    1               5                155.6      5
303546    304480    2               5                25.0       5
330510    332396    4               5                29.6       5
332397    332471    2               5                7.8        5
332472    335137    4               5                19.6       5
335138    335481    2               5                7.9        5
335482    337818    4               5                58.6       5
342923    343070    1               5                14.4       5
343071    343358    2               5                32.0       5
343359    344737    4               5                22.8       5
347532    350078    4               5                253.5      5
350079    350190    2               5                16.6       5
382893    384268    4               5                79.7       5
393184    393403    4               5                8.2        5
393404    393994    2               5                18.8       5
393995    395492    4               5                45.6       5
396505    396786    4               5                25.3       5
407216    407629    4               5                61.5       5
410972    412119    2               5                969.7      5
424308    426868    4               5                32.5       5
426869    427330    2               5                8.2        5
427331    427339    4               5                2.0        5
428823    429046    2               5                21.1       5
429047    429523    1               5                34.0       5
429524    430402    4               5                1.2        5
430403    430804    1               5                153.3      5
431244    431344    2               5                0.0        5
431345    435794    4               5                167.1      5
435795    435871    1               5                11.5       5
437861    438451    4               5                46.0       5
438452    439130    2               5                36.7       5
439131    444423    4               5                128.8      5
445768    445890    1               5                8.7        5
445891    446304    2               5                17.5       5
446305    446840    1               5                107.0      5
446841    450731    4               5                194.0      5
453405    456522    4               5                98.2       5
463559    464662    4               5                37.6       5
464663    464964    2               5                1.1        5
464965    468150    4               5                183.6      5
468151    469845    1               5                3.9        5
469846    470510    4               5                17.2       5
488629    488875    1               5                30.6       5
491902    492108    1               5                22.0       5
492109    492358    4               5                16.6       5
492359    492510    2               5                1.4        5
492511    492756    1               5                20.1       5
492757    494398    4               5                87.0       5
494399    494614    1               5                28.8       5
511719    512638    4               5                50.8       5
514543    516639    4               5                40.6       5
516640    517078    2               5                14.0       5
544161    545577    1               5                11.5       5
545578    546524    2               5                2.4        5
546525    547440    1               5                50.9       5
547441    547482    4               5                2.6        5
556927    557184    4               5                69.3       5
560417    560831    4               5                50.4       5
561460    561597    1               5                18.7       5
561598    562014    2               5                46.8       5
564796    567195    4               5                149.3      5
567196    567498    2               5                11.7       5
571503    572371    2               5                46.2       5
591951    593893    4               5                93.7       5
607469    608109    4               5                28.9       5
608110    609043    2               5                30.3       5
609044    609673    1               5                5.6        5
639528    640138    4               5                21.1       5
642437    642500    4               5                45.1       5
642501    642548    2               5                18.9       5
642549    642959    4               5                26.8       5
642960    643318    2               5                89.1       5
713330    720101    4               5                85.5       5
720498    720927    2               5                20.0       5
733063    736974    4               5                55.6       5
736975    737862    2               5                25.9       5
737863    738024    4               5                4.0        5
739738    740361    2               5                54.6       5
740362    740628    4               5                22.6       5
740629    740811    2               5                51.3       5
742026    742199    2               5                93.2       5
825188    825457    1               5                6.9        5
825458    826120    4               5                109.9      5
826942    827356    4               5                65.2       5
874794    876280    4               5                21.3       5
876281    876499    2               5                11.4       5
876775    877662    4               5                28.6       5
877932    880303    4               5                48.4       5
881739    883905    4               5                119.9      5
883906    884367    2               5                41.2       5
889717    891154    4               5                83.9       5
893639    895620    4               5                62.4       5
895621    895702    2               5                7.3        5
975454    975798    1               5                47.0       5
975799    977845    4               5                79.9       5
985108    985377    2               5                29.4       5
985378    985987    4               5                42.1       5
988500    988990    4               5                24.2       5
988991    989281    1               5                12.1       5
992457    992829    2               5                21.8       5
992830    994522    4               5                60.3       5
994523    996577    2               5                3.4        5
1003298   1004308   4               5                7.6        5
1004309   1004918   2               5                157.5      5
1004919   1005358   4               5                32.2       5
1005359   1006535   2               5                44.2       5
1006536   1007070   4               5                55.1       5
1028550   1028887   4               5                47.4       5
1029314   1030062   4               5                23.5       5
1059165   1060741   4               5                36.5       5
1270078   1270169   2               5                26.6       5
1297714   1299981   4               5                40.5       5
1299982   1300167   2               5                6.3        5
1306571   1307009   4               5                16.8       5
1307010   1307670   2               5                17.3       5
1344617   1344823   1               5                22.0       5
1344824   1345600   4               5                68.4       5
1345943   1346191   2               5                4.6        5
1346192   1348059   4               5                54.2       5
1362699   1365209   4               5                91.7       5
1379143   1379210   1               5                12.2       5
1379211   1379634   4               5                11.5       5
1379635   1379901   1               5                36.8       5
1383055   1385639   4               5                50.0       5
1396605   1397102   2               5                94.1       5
1403361   1404125   4               5                49.4       5
1404431   1404778   4               5                2.7        5
1404779   1405314   2               5                6.9        5
1405315   1406670   4               5                18.5       5
1406671   1407062   2               5                30.7       5
1424781   1425560   1               5                8.1        5
1425726   1425915   4               5                3.3        5
1426046   1427116   4               5                52.5       5
1448082   1448948   4               5                61.8       5
1448949   1449200   1               5                69.8       5
1449201   1450123   4               5                41.8       5
1451680   1452397   4               5                18.8       5
1452398   1452704   1               5                1.0        5
1452705   1453331   4               5                12.8       5
1454491   1456602   4               5                146.0      5
1456603   1457131   2               5                38.6       5
1457937   1458938   4               5                149.1      5
1459147   1460441   4               5                44.3       5
1460442   1460717   2               5                110.9      5
1460718   1460756   4               5                25.3       5
1460757   1460774   1               5                0.7        5
1464646   1465957   4               5                55.0       5
1466597   1467366   4               5                49.3       5
1501573   1501735   4               5                44.8       5
1503491   1504063   4               5                78.1       5
1541205   1541747   4               5                41.3       5
1574279   1575513   4               5                45.6       5
1575514   1576365   2               5                14.0       5
1576366   1578551   4               5                69.0       5
1578552   1581038   2               5                37.7       5
1581039   1581170   4               5                15.3       5
1588216   1588742   2               5                41.9       5
1609821   1610166   2               5                58.2       5
1627495   1627963   4               5                37.6       5
1627964   1628317   1               5                93.7       5
1653066   1653625   4               5                64.4       5
1653626   1654516   1               5                11.1       5
1657034   1657098   4               5                4.7        5
1657099   1659453   2               5                1007.2     5
1659454   1659483   4               5                50.3       5
1662550   1663607   4               5                61.8       5
1664656   1665726   4               5                41.0       5
1675135   1675257   2               5                2.3        5
1675258   1675456   4               5                8.9        5
1675457   1678648   2               5                69.5       5
1678649   1679582   4               5                17.5       5
1679583   1679842   1               5                16.2       5
1679843   1681848   2               5                92.1       5
1681849   1682108   4               5                37.3       5
1682109   1684061   2               5                63.0       5
1684062   1684371   1               5                24.1       5
1684372   1684582   4               5                29.1       5
1684583   1684928   2               5                2.8        5
1684929   1685162   4               5                17.3       5
1685163   1686000   2               5                62.8       5
1749822   1751389   4               5                83.2       5
1770907   1772947   2               5                56.2       5
1772948   1772995   1               5                18.9       5
1776226   1777212   2               5                16.7       5
1790173   1791392   2               5                11.5       5
1791393   1795488   4               5                19.7       5
1795489   1795737   2               5                7.4        5
1795889   1796239   1               5                13.3       5
1796240   1797766   4               5                81.3       5
1808474   1808868   4               5                58.9       5
1810363   1811335   4               5                74.0       5
1812577   1812937   1               5                13.1       5
1834343   1834648   2               5                85.7       5
1834649   1834915   4               5                52.2       5
1905082   1905282   2               5                18.8       5
1905283   1905472   1               5                9.2        5
1911368   1914397   4               5                89.5       5
1922927   1924025   4               5                32.3       5
1924026   1924337   2               5                3.3        5
1924338   1924362   4               5                13.3       5
1924363   1924457   2               5                3.3        5
1924458   1924672   4               5                36.4       5
1973116   1973951   4               5                47.2       5
1976492   1978687   4               5                84.9       5
1980332   1982197   4               5                101.6      5
1983308   1988897   4               5                62.9       5
1994031   1995071   4               5                101.1      5
2018342   2019321   2               5                55.0       5
2019322   2020275   4               5                17.2       5
2027091   2027894   4               5                70.6       5
2071259   2072504   4               5                32.1       5
2072505   2072551   1               5                10.1       5
2073880   2076464   4               5                71.9       5
2098540   2100428   2               5                36.5       5
2100429   2100780   4               5                19.3       5
2103539   2103813   2               5                29.1       5
2108119   2109702   2               5                1.5        5
2109703   2110699   4               5                14.2       5
2116021   2116766   4               5                56.5       5
2116767   2117459   2               5                45.6       5
2117460   2117826   4               5                15.8       5
2118129   2119073   4               5                88.3       5
2119074   2121906   2               5                80.3       5
2121907   2122716   4               5                3.6        5
2122717   2123208   1               5                33.5       5
2130952   2131790   4               5                19.1       5
2132437   2132938   4               5                30.0       5
2151370   2151915   1               5                17.0       5
2151916   2152301   2               5                15.3       5
2152302   2152971   4               5                22.5       5
2153813   2154288   4               5                50.9       5
2163778   2164416   2               5                74.6       5
2164417   2164551   4               5                11.6       5
2164552   2165639   2               5                79.6       5
2177976   2178545   4               5                67.4       5
2180605   2181201   2               5                33.1       5
2181202   2187301   4               5                147.7      5
2187618   2187881   4               5                85.7       5
2200992   2201300   4               5                34.5       5
2201301   2201526   2               5                28.2       5
2201527   2202998   4               5                107.6      5
2204369   2205489   4               5                101.2      5
2205490   2205757   2               5                4.2        5
2205758   2205900   1               5                18.4       5
2205901   2207018   4               5                21.9       5
2208665   2209128   2               5                37.8       5
2209129   2209509   4               5                56.0       5
2211978   2212466   4               5                50.3       5
2212467   2213103   2               5                44.3       5
2214720   2214833   4               5                2.5        5
2214834   2215802   2               5                12.3       5
2215803   2216561   1               5                10.7       5
2216562   2216642   4               5                3.9        5
2216685   2216828   4               5                4.6        5
2222282   2223056   4               5                55.4       5
2225260   2226628   4               5                22.9       5
2226843   2227458   1               5                26.6       5
2227459   2228546   4               5                40.6       5
2228547   2228816   1               5                12.7       5
2239730   2240435   1               5                64.6       5
2240436   2240660   4               5                21.1       5
2240661   2240780   2               5                19.9       5
2240781   2245381   4               5                222.0      5
2258292   2260107   4               5                97.0       5
2266928   2269558   4               5                54.0       5
2273742   2274010   4               5                44.2       5
2274011   2274219   1               5                21.9       5
2274220   2274562   4               5                39.9       5
2300251   2300521   2               5                51.9       5
2300522   2301862   4               5                109.1      5
2302121   2302557   4               5                19.8       5
2302558   2302929   2               5                41.9       5
2316284   2317185   4               5                86.7       5
2392489   2394310   2               5                32.8       5
2394566   2399729   2               5                71.4       5
2401328   2403450   2               5                9.4        5
2403451   2403558   1               5                20.9       5
2403559   2406768   2               5                153.7      5
2406769   2406955   1               5                23.1       5
2408259   2409048   4               5                33.7       5
2409049   2409547   1               5                12.6       5
2409548   2409658   4               5                16.7       5
2409659   2410573   2               5                82.8       5
2410574   2410654   4               5                15.1       5
2411335   2411607   1               5                32.8       5
2411608   2412670   4               5                61.7       5
2423154   2428437   4               5                184.8      5
2428438   2429333   2               5                87.0       5
2429334   2429880   1               5                87.0       5
2429881   2431160   2               5                108.1      5
2431161   2433145   4               5                84.1       5
2436616   2437560   2               5                68.6       5
2438059   2438868   2               5                54.2       5
2438869   2439146   4               5                15.6       5
2440582   2440653   4               5                74.6       5
2440654   2440780   1               5                196.1      5
2440781   2441867   2               5                32.6       5
2441868   2441980   1               5                9.2        5
2441981   2442903   2               5                22.7       5
2442904   2444270   4               5                32.6       5
2445926   2446128   2               5                49.4       5
2449682   2450487   1               5                48.1       5
2450488   2459321   2               5                206.7      5
2462399   2463168   4               5                49.3       5
2465497   2467252   4               5                48.5       5
2467253   2469140   2               5                95.1       5
2469141   2469778   4               5                1.4        5
2469779   2471185   2               5                34.4       5
2471186   2471222   1               5                7.0        5
2472434   2472613   4               5                19.9       5
2472614   2473094   2               5                18.6       5
2474970   2476060   2               5                102.4      5
2483061   2483102   2               5                6.5        5
2483103   2483565   4               5                73.4       5
2483566   2483676   1               5                16.7       5
2483677   2483775   4               5                0.1        5
2483776   2483952   1               5                13.0       5
2487112   2488096   4               5                80.1       5
2488097   2507314   2               5                581.7      5
2532241   2532560   2               5                44.8       5
2532561   2532575   4               5                1.0        5
2532576   2532707   2               5                31.1       5
2532708   2533311   4               5                18.5       5
2534851   2536634   4               5                55.8       5
2540090   2543505   4               5                151.5      5
2551473   2552032   2               5                31.2       5
2565537   2566041   4               5                49.6       5
2566042   2566351   2               5                34.5       5
2591091   2591223   4               5                86.0       5
2612347   2614292   1               5                24.5       5
2614293   2615124   4               5                38.4       5
2615829   2617705   4               5                6.0        5
2617706   2618052   1               5                7.8        5
2621186   2621900   2               5                54.4       5
2621901   2623172   4               5                61.8       5
2623173   2623424   1               5                19.9       5
2804871   2806187   4               5                133.4      5
2815416   2815987   4               5                70.9       5
2815988   2816188   2               5                26.0       5
2816855   2817368   4               5                70.4       5
2817369   2817540   2               5                35.7       5
2823077   2823406   2               5                0.7        5
2823407   2824075   4               5                69.7       5
2842685   2842835   2               5                41.8       5
2842836   2843130   1               5                9.1        5
2843131   2843799   4               5                25.3       5
2845064   2846111   4               5                84.2       5
2847361   2849373   4               5                54.1       5
2861872   2862525   4               5                66.9       5
2863769   2864240   4               5                58.2       5
2864594   2865457   4               5                116.6      5
2867316   2868231   4               5                79.5       5
2963656   2964581   4               5                69.3       5
2974880   2975184   2               5                77.4       5
2975185   2975298   4               5                24.5       5
2975299   2978203   2               5                255.7      5
2978204   2978462   4               5                48.8       5
2978463   2978662   2               5                41.5       5
2981507   2982774   4               5                293.3      5
3046906   3051844   4               5                274.1      5
3058789   3059424   4               5                54.1       5
3059425   3060666   1               5                93.3       5
3077136   3077730   1               5                13.4       5
3077731   3082835   4               5                180.4      5
3082836   3083439   1               5                13.2       5
3088653   3088935   2               5                51.0       5
3088936   3089396   4               5                55.2       5
3130135   3132391   4               5                188.8      5
3143371   3143462   4               5                22.4       5
3147546   3148033   4               5                43.5       5
3206031   3206222   1               5                38.1       5
3267244   3267458   2               5                5.4        5
3267459   3268837   4               5                42.6       5
3271460   3271613   1               5                10.7       5
3271614   3272449   4               5                32.6       5
3284057   3285780   4               5                65.1       5
3292680   3293352   4               5                43.1       5
3293353   3293607   1               5                19.7       5
3293608   3295133   4               5                112.1      5
3303416   3304297   1               5                20.9       5
3304298   3307289   4               5                119.5      5
3445829   3446366   4               5                38.2       5
3447799   3448851   4               5                100.6      5
3448852   3449083   1               5                20.8       5
3449084   3449429   4               5                36.2       5
3471067   3472177   1               5                8.6        5
3472498   3474103   1               5                17.8       5
3474104   3475116   4               5                3.7        5
3475117   3475525   2               5                23.7       5
3477768   3479623   4               5                104.9      5
3479624   3480171   2               5                0.3        5
3480172   3480422   4               5                2.0        5
3480423   3481376   2               5                29.9       5
3481377   3482414   4               5                65.5       5
3507068   3508331   1               5                9.1        5
3510820   3511079   2               5                33.6       5
3534211   3535430   4               5                66.1       5
3538295   3539839   4               5                47.3       5
3539840   3540182   2               5                10.7       5
3541136   3542050   2               5                30.8       5
3543172   3543182   4               5                1.6        5
3543183   3543458   2               5                25.6       5
3543459   3547673   4               5                261.9      5
3548967   3549720   4               5                34.6       5
3549721   3551601   2               5                41.4       5
3555042   3555662   1               5                18.1       5
3555663   3556846   4               5                5.9        5
3556847   3558330   1               5                33.1       5
3558331   3562639   4               5                140.7      5
3562640   3571852   2               5                269.1      5
3571853   3572340   4               5                43.5       5
3572341   3575226   2               5                39.5       5
3575227   3576030   4               5                10.0       5
3576031   3578785   2               5                41.0       5
3578786   3578912   4               5                2.1        5
3578913   3580461   2               5                32.1       5
3580462   3581402   4               5                15.0       5
3581403   3582242   2               5                1.5        5
3582243   3582545   4               5                11.7       5
3582546   3583274   2               5                11.1       5
3583505   3585646   2               5                47.0       5
3588910   3589232   2               5                26.9       5
3589233   3591411   4               5                134.7      5
3591412   3592629   1               5                27.6       5
3592630   3594210   2               5                169.6      5
3594211   3594609   1               5                20.9       5
3594610   3600302   2               5                179.6      5
3602380   3604322   4               5                79.5       5
3604323   3604895   2               5                4.1        5
3604896   3606029   4               5                117.5      5
3609991   3611194   4               5                20.6       5
3611195   3613520   2               5                44.3       5
3613521   3613875   1               5                25.6       5
3613876   3614475   4               5                18.6       5
3614476   3615546   2               5                38.3       5
3616713   3618538   2               5                121.0      5
3620158   3623015   2               5                148.3      5
3623016   3625322   4               5                42.3       5
3625323   3625889   1               5                25.0       5
3625890   3626341   2               5                35.0       5
3627844   3628947   1               5                45.9       5
3629613   3631015   2               5                61.3       5
3631016   3631123   4               5                2.8        5
3631124   3631213   2               5                0.3        5
3631214   3635961   4               5                115.5      5
3635962   3638671   2               5                112.0      5
3638672   3638829   1               5                36.9       5
3638830   3640460   2               5                72.8       5
3640461   3640762   4               5                8.9        5
3669288   3670276   1               5                29.2       5
3670277   3671665   4               5                53.2       5
1652108   1652230   3               6                23.6       6
1652231   1652620   1               6                10.7       6
1652621   1653065   3               6                9.8        6
1659588   1663165   1               6                37.4       6
1682018   1682976   3               6                78.6       6
1700315   1700678   4               6                14.9       6
1700679   1701278   3               6                115.1      6
1701279   1701705   4               6                116.4      6
1704574   1704930   4               6                48.5       6
1704931   1705386   1               6                53.2       6
1705387   1705966   3               6                61.6       6
1715551   1716758   4               6                190.9      6
1722151   1722291   3               6                17.8       6
1722292   1722405   1               6                29.2       6
1722406   1722543   4               6                5.0        6
1722544   1722797   3               6                39.8       6
1722798   1723101   4               6                1.9        6
1723102   1723672   1               6                53.4       6
1723673   1724038   3               6                35.0       6
1724039   1724264   4               6                97.8       6
1732805   1733123   4               6                94.3       6
1739089   1739735   3               6                554.6      6
2911705   2912340   4               6                161.3      6
2912341   2912839   3               6                92.3       6
2912840   2913269   4               6                63.3       6
2952729   2953699   4               6                287.1      6
2953700   2954079   1               6                178.8      6
2954080   2957828   4               6                516.9      6
2975387   2979479   4               6                859.0      6
2987228   2993076   4               6                1021.9     6
2993077   2993701   3               6                35.7       6
2993702   2998099   4               6                454.6      6
2998100   2998303   3               6                89.4       6
2998304   3001039   4               6                414.4      6
3001040   3001243   1               6                3.5        6
3001244   3001750   3               6                130.6      6
3001751   3002387   4               6                117.7      6
3002388   3003447   3               6                295.4      6
3003448   3003998   4               6                122.8      6
3003999   3004475   3               6                98.3       6
3004476   3005049   4               6                61.8       6
3005050   3005300   1               6                79.4       6
3005301   3007596   4               6                588.8      6
3007597   3007978   3               6                43.0       6
3007979   3008091   1               6                5.8        6
3008092   3009696   4               6                390.9      6
3009697   3010727   3               6                18.6       6
3010728   3012868   4               6                143.1      6
3015984   3017267   3               6                169.6      6
3017268   3017681   1               6                41.8       6
3017682   3019847   3               6                2399.4     6
3019848   3020805   1               6                1569.8     6
3020806   3021263   3               6                321.4      6
3021264   3024741   4               6                13.4       6
3027573   3029221   3               6                2775.4     6
3029222   3033238   4               6                455.0      6
3036213   3038682   4               6                302.1      6
3038683   3039628   3               6                126.0      6
3039629   3039968   4               6                82.7       6
3039969   3040114   3               6                22.2       6
3040115   3040871   4               6                125.5      6
3675099   3675645   1               6                50.0       6
3675646   3675836   3               6                7.5        6
3675837   3676355   1               6                38.4       6
1         2873      4               7                65.5       7
2874      3354      1               7                15.9       7
3355      6007      4               7                185.9      7
6008      6066      1               7                13.2       7
6067      6370      3               7                142.1      7
6371      7280      4               7                157.3      7
994523    995563    3               7                52.1       7
997390    1000564   3               7                97.0       7
1000565   1000789   1               7                14.3       7
1000790   1000955   3               7                4.1        7
1000956   1001341   4               7                214.8      7
1001342   1001949   1               7                43.2       7
1001950   1002509   4               7                83.4       7
1002510   1003572   3               7                119.6      7
1003573   1004242   1               7                128.4      7
1005448   1005565   3               7                14.1       7
1005566   1006639   4               7                110.8      7
1200984   1202057   4               7                149.6      7
1572637   1573448   4               7                45.9       7
1573449   1573851   3               7                6.9        7
1573852   1573929   4               7                2.8        7
1573930   1574238   1               7                1.7        7
1574239   1574788   3               7                21.7       7
1574789   1575745   1               7                28.7       7
1575746   1576848   4               7                81.3       7
1576849   1577227   1               7                10.7       7
1577228   1577329   4               7                15.0       7
1577330   1580436   3               7                171.8      7
1580437   1580811   1               7                1.0        7
1580812   1581870   3               7                78.5       7
1581871   1582396   4               7                25.9       7
1582397   1583411   3               7                56.4       7
1583412   1583864   4               7                35.7       7
1583865   1584034   1               7                0.5        7
1584035   1584485   3               7                16.4       7
1584486   1585291   4               7                24.3       7
1585292   1585557   1               7                29.7       7
1585558   1585996   3               7                0.4        7
1585997   1586706   1               7                15.7       7
1586707   1586809   4               7                2.0        7
